date,hippodrome,temperature,precipitation,vent_kmh,terrain_lourd
2025-09-10,MESLAY DU MAINE,17.6,0.3,21.3,0
2025-09-10,COMPIEGNE,14.1,0.0,8.8,0
2025-09-11,HAMBOURG,15.4,0.0,9.5,0
2025-09-11,ParisLongchamp,18.6,0.0,21.6,0
2025-09-11,MAUQUENCHY,13.8,1.0,23.2,0
2025-09-12,VINCENNES,19.8,0.0,15.6,0
2025-09-12,SAINT-CLOUD,18.7,0.1,18.6,0
2025-09-13,AUTEUIL,16.3,0.0,19.4,0
2025-09-13,VINCENNES,16.4,0.0,19.3,0
2025-09-13,VICHY,17.2,0.0,10.6,0
2025-09-14,ParisLongchamp,17.0,0.0,13.5,0
2025-09-15,CHANTILLY,19.0,0.0,25.7,0
2025-09-15,LAVAL,19.0,0.0,28.2,0
2025-09-15,LE CROISE LAROCHE,15.9,0.1,31.6,0
2025-09-16,COMPIEGNE,18.3,0.0,23.5,0
2025-09-16,LYON-PARILLY,17.8,0.0,10.5,0
2025-09-16,VINCENNES,18.4,0.0,18.3,0
2025-09-17,LYON-PARILLY,22.6,0.0,6.1,0
2025-09-18,VINCENNES,24.0,0.0,5.7,0
2025-09-18,AUTEUIL,16.1,0.0,4.6,0
2025-09-18,LE CROISE LAROCHE,21.1,0.0,16.3,0
2025-09-19,VINCENNES,30.4,0.0,10.1,0
2025-09-19,SAINT-CLOUD,18.2,0.0,7.6,0
2025-09-20,CHANTILLY,18.9,0.0,14.6,0
2025-09-20,VICHY,27.5,0.0,6.6,0
2025-09-20,AMIENS,22.4,0.0,29.3,0
2025-09-21,VINCENNES,17.9,0.0,5.2,0
2025-09-21,LYON-PARILLY,18.8,0.0,4.8,0
2025-09-21,FONTAINEBLEAU,16.2,0.0,5.5,0
2025-09-22,CASABLANCA,22.5,0.0,4.4,0
2025-09-22,VICHY,12.3,0.4,15.5,0
2025-09-23,AUTEUIL,14.1,0.0,19.7,0
2025-09-23,VICHY,11.6,0.0,5.6,0
2025-09-23,VINCENNES,14.1,0.0,13.4,0
2025-09-24,COMPIEGNE,9.9,0.6,15.7,0
2025-09-25,HAMBOURG,10.8,0.0,14.8,0
2025-09-25,CHANTILLY,12.3,0.0,10.4,0
2025-09-25,LAVAL,15.6,0.0,15.8,0
2025-09-26,NANTES,11.8,0.0,5.4,0
2025-09-26,VINCENNES,13.7,0.0,3.0,0
2025-09-26,SAINT-CLOUD,12.5,0.0,5.2,0
2025-09-27,AUTEUIL,14.6,0.0,6.5,0
2025-09-27,ENGHIEN,15.4,0.0,6.1,0
