date,hippodrome,temperature,precipitation,vent_kmh,terrain_lourd
2025-09-28,CRAON,12.3,0.0,5.5,0
2025-09-28,VINCENNES,18.8,0.0,3.9,0
2025-09-28,AMIENS,18.6,0.0,2.9,0
2025-09-28,LYON-PARILLY,14.6,0.0,0.9,0
2025-09-29,CRAON,11.9,0.0,8.5,0
2025-09-29,ENGHIEN,19.4,0.0,6.0,0
2025-09-29,LE CROISE LAROCHE,17.7,0.1,11.3,0
2025-09-30,CHANTILLY,17.4,0.0,10.9,0
2025-09-30,VINCENNES,17.5,0.0,7.6,0
2025-10-01,AUTEUIL,12.6,0.0,2.6,0
2025-10-01,LE CROISE LAROCHE,17.5,0.0,2.9,0
2025-10-02,CHANTILLY,11.4,0.0,5.6,0
2025-10-02,COMPIEGNE,17.2,0.0,6.8,0
2025-10-02,CABOURG,19.0,0.1,11.3,0
2025-10-03,VINCENNES,14.3,0.6,17.1,0
2025-10-03,SAINT-CLOUD,12.7,0.0,11.9,0
2025-10-03,LYON LA SOIE,14.9,0.0,4.8,0
2025-10-04,FONTAINEBLEAU,17.0,0.6,26.6,0
2025-10-04,CABOURG,14.1,0.0,27.8,0
2025-10-04,ParisLongchamp,14.8,0.0,25.0,0
2025-10-04,LAVAL,12.5,0.0,19.6,0
2025-10-04,AMIENS,12.1,0.0,31.9,0
2025-10-05,ParisLongchamp,16.2,0.0,20.5,0
2025-10-05,LYON-PARILLY,14.1,0.0,14.6,0
2025-10-06,CASABLANCA,20.1,0.0,4.1,0
2025-10-06,ENGHIEN,16.0,0.0,9.2,0
2025-10-06,LE CROISE LAROCHE,16.6,0.0,16.9,0
2025-10-07,LYON-PARILLY,11.1,0.0,4.7,0
2025-10-07,AUTEUIL,17.0,0.0,3.5,0
2025-10-07,VINCENNES,18.0,0.0,2.7,0
2025-10-08,ENGHIEN,17.2,0.0,5.1,0
2025-10-09,SAINT-CLOUD,17.4,0.0,6.6,0
2025-10-09,LYON-PARILLY,13.9,0.0,12.6,0
2025-10-09,ENGHIEN,18.0,0.0,9.0,0
2025-10-10,VINCENNES,14.4,0.0,9.1,0
2025-10-10,COMPIEGNE,14.4,0.0,7.1,0
2025-10-11,CHANTILLY,13.8,0.0,7.4,0
2025-10-12,AUTEUIL,16.9,0.0,11.1,0
2025-10-13,FONTAINEBLEAU,10.9,0.0,10.3,0
2025-10-13,ENGHIEN,16.5,0.0,11.6,0
2025-10-14,CHANTILLY,15.4,0.0,16.9,0
2025-10-14,VINCENNES,15.6,0.0,13.4,0
2025-10-15,NANTES,13.1,0.0,17.9,0
2025-10-15,CABOURG,15.5,0.0,14.5,0
2025-10-16,SAINT-CLOUD,13.8,0.0,12.8,0
2025-10-16,ENGHIEN,14.3,0.0,12.7,0
2025-10-17,VINCENNES,16.4,0.0,12.2,0
2025-10-17,LE CROISE LAROCHE,14.3,0.0,6.0,0
2025-10-17,FONTAINEBLEAU,16.2,0.0,17.9,0
2025-10-18,AUTEUIL,14.2,0.0,9.6,0
2025-10-18,ENGHIEN,14.8,0.0,9.1,0
2025-10-19,ParisLongchamp,11.3,0.3,16.3,0
2025-10-19,LYON-PARILLY,17.5,0.0,21.8,0
2025-10-20,CASABLANCA,21.1,0.0,3.0,0
2025-10-20,COMPIEGNE,13.6,0.0,19.0,0
2025-10-20,DEAUVILLE,15.3,0.2,27.9,0
2025-10-21,CLAIREFONTAINE,16.3,0.1,23.1,0
2025-10-21,VINCENNES,15.1,0.0,12.7,0
2025-10-22,PAU,15.7,0.0,2.2,0
2025-10-22,DEAUVILLE,15.7,0.0,15.5,0
2025-10-23,CABOURG,9.9,1.3,29.1,0
2025-10-23,AUTEUIL,11.6,0.2,24.7,0
2025-10-23,DEAUVILLE,10.8,5.0,38.8,1
2025-10-24,VINCENNES,13.0,0.0,19.3,0
2025-10-24,LYON LA SOIE,12.4,0.0,12.3,0
2025-10-24,CLAIREFONTAINE,11.6,0.0,31.5,0
2025-10-25,COMPIEGNE,12.6,0.0,16.7,0
2025-10-25,CABOURG,11.9,0.5,21.4,0
2025-10-26,SAINT-CLOUD,8.6,0.0,15.6,0
2025-10-26,ENGHIEN,10.6,0.0,15.5,0
2025-10-27,LYON-PARILLY,9.0,0.1,11.6,0
2025-10-27,CHANTILLY,14.2,0.0,24.6,0
2025-10-27,LE CROISE LAROCHE,12.0,0.0,22.5,0
2025-10-28,FONTAINEBLEAU,12.3,0.0,22.9,0
2025-10-28,CHANTILLY,14.9,0.1,24.2,0
2025-10-28,VINCENNES,13.6,0.0,14.1,0
2025-10-29,AUTEUIL,13.8,0.0,8.8,0
2025-10-29,AMIENS,14.1,0.0,11.8,0
2025-10-30,VINCENNES,13.6,0.0,11.5,0
2025-10-30,LYON-PARILLY,13.7,0.0,8.6,0
2025-10-31,CHANTILLY,12.6,0.0,15.7,0
2025-10-31,VINCENNES,16.1,0.0,14.4,0
2025-11-01,NANTES,13.1,0.3,17.1,0
2025-11-01,DEAUVILLE,15.6,0.1,23.6,0
2025-11-01,LAVAL,12.6,0.0,17.6,0
2025-11-01,LYON LA SOIE,17.5,0.0,14.0,0
2025-11-02,DEAUVILLE,13.1,0.2,28.8,0
2025-11-03,FONTAINEBLEAU,11.8,0.1,19.0,0
2025-11-03,VINCENNES,15.0,0.0,15.8,0
2025-11-03,LE CROISE LAROCHE,12.8,0.0,18.8,0
2025-11-04,VINCENNES,16.5,0.0,11.1,0
2025-11-05,NANTES,18.2,0.0,16.9,0
2025-11-05,AUTEUIL,12.0,0.0,10.1,0
2025-11-06,VINCENNES,14.4,0.0,6.0,0
2025-11-06,FONTAINEBLEAU,12.4,0.0,6.1,0
2025-11-06,DEAUVILLE,17.5,0.0,10.6,0
2025-11-07,LYON-PARILLY,12.6,0.0,2.4,0
2025-11-07,VINCENNES,12.3,0.0,8.1,0
2025-11-07,DEAUVILLE,15.1,0.1,25.1,0
2025-11-07,LAVAL,15.6,0.0,17.1,0
2025-11-08,CHANTILLY,10.0,0.0,6.5,0
2025-11-08,VINCENNES,11.1,0.1,4.2,0
2025-11-08,LE CROISE LAROCHE,12.6,0.0,9.9,0
2025-11-08,LYON LA SOIE,14.1,0.0,6.4,0
2025-11-09,SAINT-CLOUD,11.5,0.0,9.2,0
2025-11-09,MAUQUENCHY,10.2,0.0,11.7,0
2025-11-09,LYON-PARILLY,12.5,0.0,10.4,0
2025-11-10,VINCENNES,7.2,0.0,11.3,0
2025-11-10,CASABLANCA,19.1,0.0,2.5,0
2025-11-10,CHANTILLY,10.8,0.2,15.4,0
2025-11-10,AMIENS,10.7,3.3,19.2,1
2025-11-11,COMPIEGNE,10.2,0.0,18.5,0
2025-11-11,LYON LA SOIE,10.4,0.0,7.6,0
2025-11-12,NANTES,13.2,0.0,18.6,0
2025-11-13,PAU,23.2,0.0,15.0,0
2025-11-13,FONTAINEBLEAU,13.6,0.0,12.0,0
2025-11-13,VINCENNES,15.9,0.0,8.2,0
2025-11-13,AMIENS,14.6,0.0,8.9,0
2025-11-14,SAINT-CLOUD,14.9,0.1,15.3,0
2025-11-14,VINCENNES,15.9,0.3,12.7,0
2025-11-15,LYON-PARILLY,14.2,3.9,24.4,1
2025-11-15,AUTEUIL,12.9,0.6,5.7,0
2025-11-15,LE CROISE LAROCHE,13.1,0.0,0.8,0
2025-11-15,LAVAL,11.9,0.1,11.5,0
2025-11-16,VINCENNES,12.4,0.0,5.6,0
2025-11-16,AUTEUIL,9.6,0.0,8.6,0
2025-11-17,VINCENNES,7.7,0.0,12.6,0
2025-11-17,LYON LA SOIE,7.1,0.0,15.6,0
2025-11-18,CHANTILLY,6.7,0.2,12.4,0
2025-11-18,VINCENNES,6.6,0.0,10.1,0
2025-11-19,MAUQUENCHY,3.8,0.7,19.7,0
2025-11-19,FONTAINEBLEAU,4.1,0.4,18.5,0
2025-11-19,AMIENS,4.3,1.5,29.8,0
2025-11-20,SAINT-CLOUD,1.2,0.0,14.1,0
2025-11-20,VINCENNES,4.2,0.0,9.8,0
2025-11-21,CHANTILLY,3.7,0.0,13.4,0
2025-11-21,VINCENNES,3.7,0.0,9.4,0
2025-11-22,LYON-PARILLY,-1.4,0.0,15.1,0
2025-11-22,FONTAINEBLEAU,-2.0,0.0,5.5,0
2025-11-22,VINCENNES,0.9,0.0,14.9,0
2025-11-22,CASABLANCA,17.9,0.0,12.1,0
2025-11-23,AUTEUIL,2.3,0.0,15.5,0
2025-11-24,CASABLANCA,16.1,0.0,1.7,0
2025-11-24,VINCENNES,8.9,0.1,15.9,0
2025-11-24,NANTES,8.8,0.0,13.0,0
2025-11-24,LE CROISE LAROCHE,6.7,0.1,15.3,0
2025-11-25,DEAUVILLE,8.0,0.3,23.4,0
2025-11-25,VINCENNES,6.7,0.0,15.0,0
2025-11-26,DEAUVILLE,8.7,0.0,8.7,0
2025-11-26,AMIENS,3.5,0.0,12.9,0
2025-11-26,VINCENNES,7.7,0.0,6.8,0
2025-11-27,VINCENNES,6.9,0.0,11.2,0
