course_id,discipline,distance,nb_partants,allocation,taux_hippo,confiance_top1,cote_top1,ecart_top2,std_probas,temperature,precipitation,vent_kmh,terrain_lourd,erreur_top1,top1_dans_top5,gagnant_rang_chez_victor,precision_quinte,victor_correct,tranche_conf,tranche_dist
9607,CROSS,2525,13,26000,0.4217,78.99,3.2,5.09,8.8,15.0,0.0,10.0,0,1,1,1,3,1,>65%,Fond
9608,TROT_ATTELE,2700,8,52000,0.3909,85.39,3.4,3.43,7.07,19.3,3.9,12.2,1,1,1,1,4,1,>65%,Fond
9613,CROSS,2525,10,26000,0.4217,74.57,7.9,1.13,3.14,15.0,0.0,10.0,0,4,1,2,4,1,>65%,Fond
9614,CROSS,2525,15,43000,0.4217,80.33,2.8,2.84,13.68,15.0,0.0,10.0,0,1,1,1,5,1,>65%,Fond
9616,TROT_MONTE,3100,10,27500,0.4297,84.91,3.0,15.7,13.97,20.8,0.1,12.0,0,4,1,99,2,1,>65%,Fond
9617,TROT_MONTE,1600,16,27000,0.4297,54.33,7.8,6.61,13.1,20.8,0.1,12.0,0,6,0,99,2,0,45-55%,Moyen
9619,TROT_MONTE,1600,16,27000,0.4297,81.07,3.5,0.38,17.73,20.8,0.1,12.0,0,3,1,99,1,1,>65%,Moyen
9621,TROT_MONTE,2400,9,11000,0.4297,83.22,3.4,0.09,10.61,20.8,0.1,12.0,0,4,1,4,3,1,>65%,Fond
9624,TROT_MONTE,2400,12,20000,0.4297,77.29,3.9,11.7,7.18,20.8,0.1,12.0,0,4,1,4,3,1,>65%,Fond
9628,PLAT,3500,9,26000,0.4297,73.91,6.6,23.26,13.55,20.8,0.1,12.0,0,2,1,99,2,1,>65%,Fond
9629,PLAT,3500,14,26000,0.4297,78.29,2.8,27.01,15.81,20.8,0.1,12.0,0,4,1,99,2,1,>65%,Fond
9631,PLAT,3500,14,26000,0.4297,55.14,6.9,16.38,14.02,20.8,0.1,12.0,0,2,1,99,1,1,55-65%,Fond
9632,CROSS,2525,11,22000,0.4217,87.91,1.8,14.45,12.88,15.0,0.0,10.0,0,1,1,1,2,1,>65%,Fond
9635,TROT_MONTE,1600,16,53000,0.4297,68.94,4.6,17.93,7.68,20.8,0.1,12.0,0,4,1,8,2,1,>65%,Moyen
9636,TROT_MONTE,3700,13,17000,0.4297,78.59,3.5,11.19,12.08,20.8,0.1,12.0,0,11,0,4,2,0,>65%,Fond
9642,PLAT,3700,10,40000,0.4261,80.07,3.9,15.03,10.39,17.8,0.0,17.8,0,2,1,4,4,1,>65%,Fond
9645,TROT_MONTE,1600,14,871043,0.3181,78.53,3.6,3.34,7.93,15.0,0.0,10.0,0,99,0,2,3,0,>65%,Moyen
9650,PLAT,3600,10,40000,0.4261,77.22,4.7,1.44,6.69,17.8,0.0,17.8,0,4,1,4,4,1,>65%,Fond
9653,PLAT,3600,8,40000,0.4261,81.13,4.2,0.73,2.7,17.8,0.0,17.8,0,6,0,4,4,0,>65%,Fond
9657,TROT_MONTE,1000,17,798891,0.3181,89.01,2.6,22.21,16.28,15.0,0.0,10.0,0,3,1,2,4,1,>65%,Sprint
9658,TROT_MONTE,1600,8,798891,0.3181,91.5,1.9,2.56,10.36,15.0,0.0,10.0,0,7,0,2,4,0,>65%,Moyen
9661,TROT_MONTE,1200,23,203243,0.3181,66.41,4.0,21.24,20.08,15.0,0.0,10.0,0,99,0,99,1,0,>65%,Sprint
